time_s,q_ref_rad,q_rad,dq_rad_s,q_measured_rad,dq_est_rad_s,state_error_q_rad,state_error_dq_rad_s,torque_unsat_nm,torque_applied_nm,saturated,requested_pole_1_real,requested_pole_1_imag,requested_pole_2_real,requested_pole_2_imag,computed_pole_1_real,computed_pole_1_imag,computed_pole_2_real,computed_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.807252786428039197e-05,0.000000000000000000e+00,-5.235407030704345432e-01,0.000000000000000000e+00,2.568286621633506517e+00,2.568286621633506517e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
1.000000000000000021e-02,5.235987755982988157e-01,1.299608653796937088e-02,1.299608653796937130e+00,1.295223111092473275e-02,1.289415858306044715e-01,-5.106465444873741211e-01,1.289415858306044715e-01,2.451375931243783945e+00,2.451375931243783945e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.000000000000000042e-02,5.235987755982988157e-01,3.786887199060327142e-02,2.487278545263389873e+00,3.744781496362870055e-02,3.610032657745836371e-01,-4.861509606346701151e-01,3.610032657745836371e-01,2.234641396134129820e+00,2.234641396134129820e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.999999999999999889e-02,5.235987755982988157e-01,7.303929878483683691e-02,3.517042679423356688e+00,7.191243202850847172e-02,6.695491098459229740e-01,-4.516863435697903162e-01,6.695491098459229740e-01,1.937175010811239995e+00,1.937175010811239995e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
4.000000000000000083e-02,5.235987755982988157e-01,1.165839170398980662e-01,4.354461825506121819e+00,1.172184412239609674e-01,1.055654290815855489e+00,-4.063803343743378482e-01,1.055654290815855489e+00,1.554249906536476544e+00,1.554249906536476544e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
5.000000000000000278e-02,5.235987755982988157e-01,1.662249519724556535e-01,4.964103493255758615e+00,1.659725966877776404e-01,1.437630416372436493e+00,-3.576261789105211752e-01,1.437630416372436493e+00,1.156127780931563986e+00,1.156127780931563986e+00,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
5.999999999999999778e-02,5.235987755982988157e-01,2.197002330687281291e-01,5.347528109627247339e+00,2.195982587712568268e-01,1.830123995569984618e+00,-3.040005168270419889e-01,1.830123995569984618e+00,7.297312729217187988e-01,7.297312729217187988e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
7.000000000000000666e-02,5.235987755982988157e-01,2.746963860880213826e-01,5.499615301929324573e+00,2.742341555703788347e-01,2.193470564004206480e+00,-2.493646200279199809e-01,2.193470564004206480e+00,3.105080085412965651e-01,3.105080085412965651e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
8.000000000000000167e-02,5.235987755982988157e-01,3.290302852021145252e-01,5.433389911409314266e+00,3.287248817154670988e-01,2.519030769054668717e+00,-1.948738938828317169e-01,2.519030769054668717e+00,-9.227891569968948993e-02,-9.227891569968948993e-02,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
8.999999999999999667e-02,5.235987755982988157e-01,3.806906366498800098e-01,5.166035144776550680e+00,3.801431997750457925e-01,2.781310872744988671e+00,-1.434555758232530231e-01,2.781310872744988671e+00,-4.536608034974408676e-01,-4.536608034974408676e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
