time_s,q_ref_rad,q_rad,dq_rad_s,q_measured_rad,dq_est_rad_s,state_error_q_rad,state_error_dq_rad_s,torque_unsat_nm,torque_applied_nm,saturated,requested_pole_1_real,requested_pole_1_imag,requested_pole_2_real,requested_pole_2_imag,computed_pole_1_real,computed_pole_1_imag,computed_pole_2_real,computed_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.807252786428039197e-05,0.000000000000000000e+00,-5.235407030704345432e-01,0.000000000000000000e+00,3.923332686237316902e-01,3.923332686237316902e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.000000000000000021e-02,5.235987755982988157e-01,1.985291309704137908e-03,1.985291309704138030e-01,1.941435882659499779e-03,1.883363354795218950e-02,-5.216573397156393233e-01,1.883363354795218950e-02,3.887490797354720695e-01,3.887490797354720695e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.000000000000000042e-02,5.235987755982988157e-01,5.857110942812686002e-03,3.871819633108548597e-01,5.436053915838117735e-03,5.189645052494314126e-02,-5.181627216824606919e-01,5.189645052494314126e-02,3.823158287797040478e-01,3.823158287797040478e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.999999999999999889e-02,5.235987755982988157e-01,1.150628998261218026e-02,5.649179039799494539e-01,1.037942322628381507e-02,9.614049857690579182e-02,-5.132193523720149919e-01,9.614049857690579182e-02,3.735069338198795941e-01,3.735069338198795941e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
4.000000000000000083e-02,5.235987755982988157e-01,1.881607178326665311e-02,7.309781800654473471e-01,1.945059596732955434e-02,1.772381761296725755e-01,-5.041481796309692509e-01,1.772381761296725755e-01,3.573529447080988075e-01,3.573529447080988075e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
5.000000000000000278e-02,5.235987755982988157e-01,2.763727362698653600e-02,8.821201843719883584e-01,2.738491834230853683e-02,2.388575822664951165e-01,-4.962138572559902649e-01,2.388575822664951165e-01,3.442980907556921766e-01,3.442980907556921766e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
5.999999999999999778e-02,5.235987755982988157e-01,3.784245366683307299e-02,1.020518003984653976e+00,3.774047936936176378e-02,3.185274343103778327e-01,-4.858582962289370588e-01,3.185274343103778327e-01,3.273463284394563244e-01,3.273463284394563244e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
7.000000000000000666e-02,5.235987755982988157e-01,4.928962649583890770e-02,1.144717282900583610e+00,4.882739597819634597e-02,3.975438569676858491e-01,-4.747713796201024627e-01,3.975438569676858491e-01,3.099218853921276162e-01,3.099218853921276162e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
8.000000000000000167e-02,5.235987755982988157e-01,6.184018112030256753e-02,1.255055462446366121e+00,6.153477763365516190e-02,4.848632878255053624e-01,-4.620639979646436468e-01,4.848632878255053624e-01,2.903251776552968622e-01,2.903251776552968622e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
8.999999999999999667e-02,5.235987755982988157e-01,7.535014365593786789e-02,1.350996253563529814e+00,7.480270678110367832e-02,5.690562505174399099e-01,-4.487960688171951373e-01,5.690562505174399099e-01,2.706691032014822418e-01,2.706691032014822418e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
