time_s,q_ref_rad,q_rad,dq_rad_s,q_measured_rad,dq_est_rad_s,state_error_q_rad,state_error_dq_rad_s,torque_unsat_nm,torque_applied_nm,saturated,requested_pole_1_real,requested_pole_1_imag,requested_pole_2_real,requested_pole_2_imag,computed_pole_1_real,computed_pole_1_imag,computed_pole_2_real,computed_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.807252786428039197e-05,0.000000000000000000e+00,-5.235407030704345432e-01,0.000000000000000000e+00,3.923332686237316902e-01,3.923332686237316902e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
1.000000000000000021e-02,5.235987755982988157e-01,1.527147161310875431e-03,1.527147161310875301e-01,1.483291734266237302e-03,1.425219206401956429e-02,-5.221154838640326146e-01,1.425219206401956429e-02,3.896209641552848546e-01,3.896209641552848546e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.000000000000000042e-02,5.235987755982988157e-01,4.523176089426543707e-03,2.996028928115668233e-01,4.102119062451975440e-03,3.901524613947497666e-02,-5.194966565358468680e-01,3.901524613947497666e-02,3.848015560991054906e-01,3.848015560991054906e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.999999999999999889e-02,5.235987755982988157e-01,8.923439744371198384e-03,4.400263654944654990e-01,7.796572988042833191e-03,7.205826078143605373e-02,-5.158022026102559998e-01,7.205826078143605373e-02,3.782208358146102456e-01,3.782208358146102456e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
4.000000000000000083e-02,5.235987755982988157e-01,1.465845478620102227e-02,5.735015041829822913e-01,1.529297897026392350e-02,1.398164945255033209e-01,-5.083057966280348783e-01,1.398164945255033209e-01,3.647859165334826903e-01,3.647859165334826903e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
5.000000000000000278e-02,5.235987755982988157e-01,2.163422872938881164e-02,6.975773943187787429e-01,2.138187344471081247e-02,1.867237898174218813e-01,-5.022169021535880518e-01,1.867237898174218813e-01,3.548113254857839793e-01,3.548113254857839793e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
5.999999999999999778e-02,5.235987755982988157e-01,2.977317463644642628e-02,8.138945907057614226e-01,2.967120033897511708e-02,2.509446797783227434e-01,-4.939275752593236812e-01,2.509446797783227434e-01,3.411903049446883829e-01,3.411903049446883829e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
7.000000000000000666e-02,5.235987755982988157e-01,3.898593573963965442e-02,9.212761103193228829e-01,3.852370522199709268e-02,3.143752606307101960e-01,-4.850750703763017091e-01,3.143752606307101960e-01,3.272384250838494824e-01,3.272384250838494824e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
8.000000000000000167e-02,5.235987755982988157e-01,4.918465890015327052e-02,1.019872316051361638e+00,4.887925541350586489e-02,3.864932364827269318e-01,-4.747195201847929646e-01,3.864932364827269318e-01,3.111579265732735688e-01,3.111579265732735688e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
8.999999999999999667e-02,5.235987755982988157e-01,6.027594990300587374e-02,1.109129100285260128e+00,5.972851302817168417e-02,4.563364889811124536e-01,-4.638702625701271454e-01,4.563364889811124536e-01,2.949698849374740028e-01,2.949698849374740028e-01,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
