time_s,q_ref_rad,q_rad,dq_rad_s,q_measured_rad,dq_est_rad_s,state_error_q_rad,state_error_dq_rad_s,torque_unsat_nm,torque_applied_nm,saturated,requested_pole_1_real,requested_pole_1_imag,requested_pole_2_real,requested_pole_2_imag,computed_pole_1_real,computed_pole_1_imag,computed_pole_2_real,computed_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.807252786428039197e-05,0.000000000000000000e+00,-5.235407030704345432e-01,0.000000000000000000e+00,1.142241150540648925e-01,1.142241150540648925e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
1.000000000000000021e-02,5.235987755982988157e-01,5.779987605205186632e-04,5.779987605205186979e-02,5.341433334758804259e-04,4.760708056115999648e-03,-5.230646322648229152e-01,4.760708056115999648e-03,1.139985604023830146e-01,1.139985604023830146e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
2.000000000000000042e-02,5.235987755982988157e-01,1.709381367565040522e-03,1.131382607044521815e-01,1.288324340590472038e-03,1.182644732165031437e-02,-5.223104512577083636e-01,1.182644732165031437e-02,1.136534103668663531e-01,1.136534103668663531e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
2.999999999999999889e-02,5.235987755982988157e-01,3.369927384069683167e-03,1.660546016504642897e-01,2.243060627741318407e-03,2.019116546099374368e-02,-5.213557149705575489e-01,2.019116546099374368e-02,1.132313010515887536e-01,1.132313010515887536e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
4.000000000000000083e-02,5.235987755982988157e-01,5.536010577413347233e-03,2.166083193343664448e-01,6.170534761476248464e-03,5.744679025224365410e-02,-5.174282408368225950e-01,5.744679025224365410e-02,1.114221374601066239e-01,1.114221374601066239e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
5.000000000000000278e-02,5.235987755982988157e-01,8.177945423298700611e-03,2.641934845885352545e-01,7.925590138620699707e-03,6.925266499846380319e-02,-5.156731854596781073e-01,6.925266499846380319e-02,1.107374589823363481e-01,1.107374589823363481e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
5.999999999999999778e-02,5.235987755982988157e-01,1.127294211762912106e-02,3.094996694330420239e-01,1.117096782015781359e-02,9.478117531398855267e-02,-5.124278077781410090e-01,9.478117531398855267e-02,1.093768666073653834e-01,1.093768666073653834e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
7.000000000000000666e-02,5.235987755982988157e-01,1.479571612011497915e-02,3.522774002485858369e-01,1.433348560247241742e-02,1.169282356057357308e-01,-5.092652899958264312e-01,1.169282356057357308e-01,1.081207847374161257e-01,1.081207847374161257e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
8.000000000000000167e-02,5.235987755982988157e-01,1.872253858644895574e-02,3.926822466333977912e-01,1.841713509980155011e-02,1.460719070184534896e-01,-5.051816404984972309e-01,1.460719070184534896e-01,1.064848951310843617e-01,1.064848951310843617e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
8.999999999999999667e-02,5.235987755982988157e-01,2.302872243352895032e-02,4.306183847079994576e-01,2.248128555869475728e-02,1.721062209055402026e-01,-5.011174900396040410e-01,1.721062209055402026e-01,1.049327373063832641e-01,1.049327373063832641e-01,0.000000000000000000e+00,9.734910186944261135e-01,1.947241676536179758e-02,9.734910186944261135e-01,-1.947241676536179758e-02,9.734910186944260024e-01,1.947241676536182881e-02,9.734910186944260024e-01,-1.947241676536182881e-02
