time_s,q_ref_rad,q_rad,dq_ref_rad_s,dq_rad_s,q_measured_rad,dq_measured_rad_s,position_error_rad,velocity_error_rad_s,load_torque_nm,torque_unsat_nm,torque_cmd_nm,saturated,state_cost,input_cost,total_stage_cost,Q_position,Q_velocity,R_torque,K_position,K_velocity,closed_loop_pole_1_real,closed_loop_pole_1_imag,closed_loop_pole_2_real,closed_loop_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.254930349368076103e-04,3.516641020437501208e-02,-5.237242686332356234e-01,3.516641020437501208e-02,0.000000000000000000e+00,1.693965641520586018e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.601780823295418088e+01,3.188355105169167203e+01,6.790135928464584936e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
1.000000000000000021e-03,5.235987755982988157e-01,1.518064973180852486e-04,0.000000000000000000e+00,1.518064973180852373e-01,-6.258228771338488969e-04,9.836351480233071487e-02,-5.242245984754326793e-01,9.836351480233071487e-02,0.000000000000000000e+00,1.682159663420970119e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.609040842135647154e+01,3.144067925822834653e+01,6.753108767958481451e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
2.000000000000000042e-03,5.235987755982988157e-01,4.548029787442942973e-04,0.000000000000000000e+00,3.029964814262090522e-01,-3.978520610582389483e-05,3.159095152506963267e-01,-5.236385608044046291e-01,3.159095152506963267e-01,0.000000000000000000e+00,1.634020268488839633e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.604982609832450180e+01,2.966691375369265771e+01,6.571673985201715595e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
3.000000000000000062e-03,5.235987755982988157e-01,9.083754348385620790e-04,0.000000000000000000e+00,4.535724560942677730e-01,6.091035795457583335e-04,4.932152045206337210e-01,-5.229896720187530157e-01,4.932152045206337210e-01,0.000000000000000000e+00,1.594229046365836489e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.602440706900613776e+01,2.823962502529471408e+01,6.426403209430085894e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
4.000000000000000083e-03,5.235987755982988157e-01,1.511912349762464672e-03,0.000000000000000000e+00,6.035369149239026010e-01,1.599928602805907648e-03,6.224584017622921683e-01,-5.219988469954929267e-01,6.224584017622921683e-01,0.000000000000000000e+00,1.563541789156334971e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.595253213693611372e+01,2.716292140486881124e+01,6.311545354180492495e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
5.000000000000000104e-03,5.235987755982988157e-01,2.264804691152259158e-03,0.000000000000000000e+00,7.528923413897943284e-01,2.343493358190373941e-03,7.652668799562701851e-01,-5.212552822401084196e-01,7.652668799562701851e-01,0.000000000000000000e+00,1.530774756104822742e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.593874920284031305e+01,2.603634837697532589e+01,6.197509757981563894e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
6.000000000000000125e-03,5.235987755982988157e-01,3.166445900033050195e-03,0.000000000000000000e+00,9.016412088807911340e-01,3.356193502322583205e-03,8.187959872478079992e-01,-5.202425820959761804e-01,8.187959872478079992e-01,0.000000000000000000e+00,1.516108109626534706e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.583793686802716394e+01,2.553982000083716031e+01,6.137775686886432425e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
7.000000000000000146e-03,5.235987755982988157e-01,4.216231880773919048e-03,0.000000000000000000e+00,1.049785980740868707e+00,4.297682164259426958e-03,1.077749378081784171e+00,-5.193010934340394069e-01,1.077749378081784171e+00,0.000000000000000000e+00,1.458013548739983101e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.592769328170471255e+01,2.362003898121509948e+01,5.954773226291980848e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
8.000000000000000167e-03,5.235987755982988157e-01,5.413560991083843886e-03,0.000000000000000000e+00,1.197329110309924616e+00,5.297983068517772218e-03,1.211986758192235891e+00,-5.183007925297810070e-01,1.211986758192235891e+00,0.000000000000000000e+00,1.426234082591557950e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.592801052118038285e+01,2.260159620384203194e+01,5.852960672502241835e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
9.000000000000001055e-03,5.235987755982988157e-01,6.757834032048249361e-03,0.000000000000000000e+00,1.344273040964405697e+00,6.261397384925216844e-03,1.322832735147637884e+00,-5.173373782133735554e-01,1.322832735147637884e+00,0.000000000000000000e+00,1.399545875906028414e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.592187147302616523e+01,2.176365176406191182e+01,5.768552323708807705e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
