time_s,q_ref_rad,q_rad,dq_ref_rad_s,dq_rad_s,q_measured_rad,dq_measured_rad_s,position_error_rad,velocity_error_rad_s,load_torque_nm,torque_unsat_nm,torque_cmd_nm,saturated,state_cost,input_cost,total_stage_cost,Q_position,Q_velocity,R_torque,K_position,K_velocity,closed_loop_pole_1_real,closed_loop_pole_1_imag,closed_loop_pole_2_real,closed_loop_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.254930349368076103e-04,3.516641020437501208e-02,-5.237242686332356234e-01,3.516641020437501208e-02,0.000000000000000000e+00,5.545719631236189606e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.601780823295418088e+01,3.417222914253162003e+01,7.019003737548580091e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111160e+00,1.064409385461222790e+01,8.204032730792543138e-01,9.771240581634209610e-01,3.770047985912192059e-03,9.771240581634209610e-01,-3.770047985912192059e-03
1.000000000000000021e-03,5.235987755982988157e-01,1.518064973180852486e-04,0.000000000000000000e+00,1.518064973180852373e-01,-6.258228771338488969e-04,9.836351480233071487e-02,-5.242245984754326793e-01,9.836351480233071487e-02,0.000000000000000000e+00,5.499198077573503873e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.609040842135647154e+01,3.360131055154235469e+01,6.969171897289882622e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111160e+00,1.064409385461222790e+01,8.204032730792543138e-01,9.771240581634209610e-01,3.770047985912192059e-03,9.771240581634209610e-01,-3.770047985912192059e-03
2.000000000000000042e-03,5.235987755982988157e-01,4.548029787442942973e-04,0.000000000000000000e+00,3.029964814262090522e-01,-3.978520610582389483e-05,3.159095152506963267e-01,-5.236385608044046291e-01,3.159095152506963267e-01,0.000000000000000000e+00,5.314484786787603277e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.604982609832450180e+01,3.138194283221875480e+01,6.743176893054325660e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111160e+00,1.064409385461222790e+01,8.204032730792543138e-01,9.771240581634209610e-01,3.770047985912192059e-03,9.771240581634209610e-01,-3.770047985912192059e-03
3.000000000000000062e-03,5.235987755982988157e-01,9.083754348385620790e-04,0.000000000000000000e+00,4.535724560942677730e-01,6.091035795457583335e-04,4.932152045206337210e-01,-5.229896720187530157e-01,4.932152045206337210e-01,0.000000000000000000e+00,5.162115785839292315e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.602440706900613776e+01,2.960826598490135098e+01,6.563267305390749584e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111160e+00,1.064409385461222790e+01,8.204032730792543138e-01,9.771240581634209610e-01,3.770047985912192059e-03,9.771240581634209610e-01,-3.770047985912192059e-03
4.000000000000000083e-03,5.235987755982988157e-01,1.511912349762464672e-03,0.000000000000000000e+00,6.035369149239026010e-01,1.599928602805907648e-03,6.224584017622921683e-01,-5.219988469954929267e-01,6.224584017622921683e-01,0.000000000000000000e+00,5.045537809257929496e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.595253213693611372e+01,2.828605753850145632e+01,6.423858967543756648e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111160e+00,1.064409385461222790e+01,8.204032730792543138e-01,9.771240581634209610e-01,3.770047985912192059e-03,9.771240581634209610e-01,-3.770047985912192059e-03
5.000000000000000104e-03,5.235987755982988157e-01,2.264804691152259158e-03,0.000000000000000000e+00,7.528923413897943284e-01,2.343493358190373941e-03,7.652668799562701851e-01,-5.212552822401084196e-01,7.652668799562701851e-01,0.000000000000000000e+00,4.920462693280827082e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.593874920284031305e+01,2.690105901774268204e+01,6.283980822058299509e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111160e+00,1.064409385461222790e+01,8.204032730792543138e-01,9.771240581634209610e-01,3.770047985912192059e-03,9.771240581634209610e-01,-3.770047985912192059e-03
6.000000000000000125e-03,5.235987755982988157e-01,3.166445900033050195e-03,0.000000000000000000e+00,9.016412088807911340e-01,3.356193502322583205e-03,8.187959872478079992e-01,-5.202425820959761804e-01,8.187959872478079992e-01,0.000000000000000000e+00,4.865767963073116320e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.583793686802716394e+01,2.630633096718744923e+01,6.214426783521461317e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111160e+00,1.064409385461222790e+01,8.204032730792543138e-01,9.771240581634209610e-01,3.770047985912192059e-03,9.771240581634209610e-01,-3.770047985912192059e-03
7.000000000000000146e-03,5.235987755982988157e-01,4.216231880773919048e-03,0.000000000000000000e+00,1.049785980740868707e+00,4.297682164259426958e-03,1.077749378081784171e+00,-5.193010934340394069e-01,1.077749378081784171e+00,0.000000000000000000e+00,4.643300459977242944e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.592769328170471255e+01,2.395582129069430621e+01,5.988351457239902231e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111160e+00,1.064409385461222790e+01,8.204032730792543138e-01,9.771240581634209610e-01,3.770047985912192059e-03,9.771240581634209610e-01,-3.770047985912192059e-03
8.000000000000000167e-03,5.235987755982988157e-01,5.413560991083843886e-03,0.000000000000000000e+00,1.197329110309924616e+00,5.297983068517772218e-03,1.211986758192235891e+00,-5.183007925297810070e-01,1.211986758192235891e+00,0.000000000000000000e+00,4.522524377257264305e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.592801052118038285e+01,2.272580749209578599e+01,5.865381801327616529e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111160e+00,1.064409385461222790e+01,8.204032730792543138e-01,9.771240581634209610e-01,3.770047985912192059e-03,9.771240581634209610e-01,-3.770047985912192059e-03
9.000000000000001055e-03,5.235987755982988157e-01,6.757834032048249361e-03,0.000000000000000000e+00,1.344273040964405697e+00,6.261397384925216844e-03,1.322832735147637884e+00,-5.173373782133735554e-01,1.322832735147637884e+00,0.000000000000000000e+00,4.421331302550666642e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.592187147302616523e+01,2.172018942990486323e+01,5.764206090293102847e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111160e+00,1.064409385461222790e+01,8.204032730792543138e-01,9.771240581634209610e-01,3.770047985912192059e-03,9.771240581634209610e-01,-3.770047985912192059e-03
