time_s,q_ref_rad,q_rad,dq_ref_rad_s,dq_rad_s,q_measured_rad,dq_measured_rad_s,position_error_rad,velocity_error_rad_s,load_torque_nm,torque_unsat_nm,torque_cmd_nm,saturated,state_cost,input_cost,total_stage_cost,Q_position,Q_velocity,R_torque,K_position,K_velocity,closed_loop_pole_1_real,closed_loop_pole_1_imag,closed_loop_pole_2_real,closed_loop_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.254930349368076103e-04,3.516641020437501208e-02,-5.237242686332356234e-01,3.516641020437501208e-02,0.000000000000000000e+00,1.693965641520586018e+01,1.500000000000000000e+00,1.000000000000000000e+00,3.601780823295418088e+01,3.188355105169167203e+01,6.790135928464584936e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
1.000000000000000021e-03,5.235987755982988157e-01,7.590324865904262428e-05,0.000000000000000000e+00,7.590324865904261864e-02,-7.017261257928914669e-04,2.246026614328810317e-02,-5.243005017240917054e-01,2.246026614328810317e-02,0.000000000000000000e+00,1.698538132145004553e+01,1.500000000000000000e+00,1.000000000000000000e+00,3.609678313566310237e+01,3.205590873722934475e+01,6.815269187289244712e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
2.000000000000000042e-03,5.235987755982988157e-01,2.274014893721471487e-04,0.000000000000000000e+00,1.514982407131045261e-01,-2.671866954779710435e-04,1.644112745375918005e-01,-5.238659622937767990e-01,1.644112745375918005e-01,0.000000000000000000e+00,1.666957279349826493e+01,1.500000000000000000e+00,1.000000000000000000e+00,3.604876398984037422e+01,3.087496190197083834e+01,6.692372589181121612e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
3.000000000000000062e-03,5.235987755982988157e-01,4.541877174192810395e-04,0.000000000000000000e+00,2.267862280471338865e-01,1.549158621264772398e-04,2.664289764734998345e-01,-5.234438597361723566e-01,2.664289764734998345e-01,0.000000000000000000e+00,1.643903941466507845e+01,1.500000000000000000e+00,1.000000000000000000e+00,3.601024931316420208e+01,3.002689076410132785e+01,6.603714007726553348e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
4.000000000000000083e-03,5.235987755982988157e-01,7.559561748812323361e-04,0.000000000000000000e+00,3.017684574619513005e-01,8.439724279246753119e-04,3.206899443003408678e-01,-5.227548031703741493e-01,3.206899443003408678e-01,0.000000000000000000e+00,1.630133182259217861e+01,1.500000000000000000e+00,1.000000000000000000e+00,3.592974656628535257e+01,2.952593546558404469e+01,6.545568203186940082e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
5.000000000000000104e-03,5.235987755982988157e-01,1.132402345576129579e-03,0.000000000000000000e+00,3.764461706948971642e-01,1.211091012614244145e-03,3.888207092613730209e-01,-5.223876845856845197e-01,3.888207092613730209e-01,0.000000000000000000e+00,1.614460535590157875e+01,1.500000000000000000e+00,1.000000000000000000e+00,3.590084742972630494e+01,2.896092023308954566e+01,6.486176766281585060e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
6.000000000000000125e-03,5.235987755982988157e-01,1.583222950016525098e-03,0.000000000000000000e+00,4.508206044403955670e-01,1.772970552306058108e-03,3.679753828074124877e-01,-5.218258050459927411e-01,3.679753828074124877e-01,0.000000000000000000e+00,1.617065441438183271e+01,1.500000000000000000e+00,1.000000000000000000e+00,3.581679221068787200e+01,2.905445157659629274e+01,6.487124378728415763e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
7.000000000000000146e-03,5.235987755982988157e-01,2.108115940386959524e-03,0.000000000000000000e+00,5.248929903704343536e-01,2.189566223872467868e-03,5.528563877113498171e-01,-5.214092093744263634e-01,5.528563877113498171e-01,0.000000000000000000e+00,1.576418879319368571e+01,1.500000000000000000e+00,1.000000000000000000e+00,3.583538709547851653e+01,2.761218314527259921e+01,6.344757024075111929e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
8.000000000000000167e-03,5.235987755982988157e-01,2.706780495541921943e-03,0.000000000000000000e+00,5.986645551549623079e-01,2.591202572975849841e-03,6.133222030372735833e-01,-5.210075730253229676e-01,6.133222030372735833e-01,0.000000000000000000e+00,1.562263141799695987e+01,1.500000000000000000e+00,1.000000000000000000e+00,3.581174979823949656e+01,2.711851249139840903e+01,6.293026228963790913e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
9.000000000000001055e-03,5.235987755982988157e-01,3.378917016024124680e-03,0.000000000000000000e+00,6.721365204822028483e-01,2.882480368901091730e-03,6.506962146654351464e-01,-5.207162952293977742e-01,6.506962146654351464e-01,0.000000000000000000e+00,1.553373679933685203e+01,1.500000000000000000e+00,1.000000000000000000e+00,3.579290178058298011e+01,2.681077543900798688e+01,6.260367721959096343e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
