time_s,q_ref_rad,q_rad,dq_ref_rad_s,dq_rad_s,q_measured_rad,dq_measured_rad_s,position_error_rad,velocity_error_rad_s,load_torque_nm,torque_unsat_nm,torque_cmd_nm,saturated,state_cost,input_cost,total_stage_cost,Q_position,Q_velocity,R_torque,K_position,K_velocity,closed_loop_pole_1_real,closed_loop_pole_1_imag,closed_loop_pole_2_real,closed_loop_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.254930349368076103e-04,3.516641020437501208e-02,-5.237242686332356234e-01,3.516641020437501208e-02,0.000000000000000000e+00,1.693965641520586018e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.601780823295418088e+01,3.188355105169167203e+01,6.790135928464584936e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
1.000000000000000021e-03,5.235987755982988157e-01,1.167742287062194126e-04,0.000000000000000000e+00,1.167742287062194101e-01,-6.608551457457147735e-04,6.333124619046490156e-02,-5.242596307440445802e-01,6.333124619046490156e-02,0.000000000000000000e+00,1.689718956678217054e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.609271405222081341e+01,3.172389058397469341e+01,6.781660463619550683e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
2.000000000000000042e-03,5.235987755982988157e-01,3.499578854027047365e-04,0.000000000000000000e+00,2.331836566964853308e-01,-1.446302994474134556e-04,2.460966905209726052e-01,-5.237434058977462614e-01,2.460966905209726052e-01,0.000000000000000000e+00,1.649198350704978822e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.604680798772406547e+01,3.022061333297802221e+01,6.626742132070208413e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
3.000000000000000062e-03,5.235987755982988157e-01,6.991873090047707583e-04,0.000000000000000000e+00,3.492294236020659914e-01,3.999154537119669586e-04,3.888721720284319394e-01,-5.231988601445868303e-01,3.888721720284319394e-01,0.000000000000000000e+00,1.617084889851170004e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.601223826366464209e+01,2.905515045538856356e+01,6.506738871905321275e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
4.000000000000000083e-03,5.235987755982988157e-01,1.164099974498811543e-03,0.000000000000000000e+00,4.649126654940408665e-01,1.252116227542254519e-03,4.838341523324304339e-01,-5.223466593707565275e-01,4.838341523324304339e-01,0.000000000000000000e+00,1.594133845835646746e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.593206996863656144e+01,2.823625242709721306e+01,6.416832239573378160e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
5.000000000000000104e-03,5.235987755982988157e-01,1.744334489393233999e-03,0.000000000000000000e+00,5.802345148944225706e-01,1.823023156431348565e-03,5.926090534608984273e-01,-5.217757524418674686e-01,5.926090534608984273e-01,0.000000000000000000e+00,1.569160960508247982e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.590583516625316207e+01,2.735851244425741413e+01,6.326434761051057620e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
6.000000000000000125e-03,5.235987755982988157e-01,2.439530590180477923e-03,0.000000000000000000e+00,6.951961007872440312e-01,2.629278192470010933e-03,6.123508791542608964e-01,-5.209694974058287631e-01,6.123508791542608964e-01,0.000000000000000000e+00,1.562345881865539710e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.580601100359572797e+01,2.712138505091345309e+01,6.292739605450918106e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
7.000000000000000146e-03,5.235987755982988157e-01,3.249329138810088877e-03,0.000000000000000000e+00,8.097985486296112034e-01,3.330779422295597220e-03,8.377619459705266669e-01,-5.202679961760031668e-01,8.377619459705266669e-01,0.000000000000000000e+00,1.512159797468529909e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.585537288787055132e+01,2.540696947866739208e+01,6.126234236653794341e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
8.000000000000000167e-03,5.235987755982988157e-01,4.173372119172810354e-03,0.000000000000000000e+00,9.240429803627211447e-01,4.057794196606738686e-03,9.387006282450324202e-01,-5.195409814016920258e-01,9.387006282450324202e-01,0.000000000000000000e+00,1.488345207952517057e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.583580155573098125e+01,2.461301620039134619e+01,6.044881775612232389e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
9.000000000000001055e-03,5.235987755982988157e-01,5.211302633595656097e-03,0.000000000000000000e+00,1.037930514422845452e+00,4.714865986472622714e-03,1.016490208606077639e+00,-5.188839096118261773e-01,1.016490208606077639e+00,0.000000000000000000e+00,1.469677772462907406e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.581380171761890097e+01,2.399947505412814763e+01,5.981327677174704860e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,3.248731700319058291e+01,2.125321342492560994e+00,9.827154891901237477e-01,0.000000000000000000e+00,9.050829387333805265e-01,0.000000000000000000e+00
