time_s,q_ref_rad,q_rad,dq_ref_rad_s,dq_rad_s,q_measured_rad,dq_measured_rad_s,position_error_rad,velocity_error_rad_s,load_torque_nm,torque_unsat_nm,torque_cmd_nm,saturated,state_cost,input_cost,total_stage_cost,Q_position,Q_velocity,R_torque,K_position,K_velocity,closed_loop_pole_1_real,closed_loop_pole_1_imag,closed_loop_pole_2_real,closed_loop_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.254930349368076103e-04,3.516641020437501208e-02,-5.237242686332356234e-01,3.516641020437501208e-02,0.000000000000000000e+00,3.989717739760305637e-01,3.989717739760305637e-01,0.000000000000000000e+00,3.601780823295418088e+01,1.768649738106453650e-02,3.603549473033524464e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,7.696644514431507655e-01,1.171623127037714207e-01,9.950054830193866273e-01,3.731288051751755364e-03,9.950054830193866273e-01,-3.731288051751755364e-03
1.000000000000000021e-03,5.235987755982988157e-01,2.018883584536132906e-05,0.000000000000000000e+00,2.018883584536132828e-02,-7.574405386065728198e-04,-3.325414667039318373e-02,-5.243562161369054175e-01,-3.325414667039318373e-02,0.000000000000000000e+00,4.074744721847111673e-01,4.074744721847111673e-01,0.000000000000000000e+00,3.610472237026553444e+01,1.844838283135654886e-02,3.612317075309689329e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,7.696644514431507655e-01,1.171623127037714207e-01,9.950054830193866273e-01,3.731288051751755364e-03,9.950054830193866273e-01,-3.731288051751755364e-03
2.000000000000000042e-03,5.235987755982988157e-01,6.091477202400218799e-05,0.000000000000000000e+00,4.072593617864085636e-02,-4.336734128261159906e-04,5.363897000312812385e-02,-5.240324490111248901e-01,5.363897000312812385e-02,0.000000000000000000e+00,3.970446816299435522e-01,3.970446816299435522e-01,0.000000000000000000e+00,3.606093779971176616e+01,1.751605324562480540e-02,3.607845385295738794e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,7.696644514431507655e-01,1.171623127037714207e-01,9.950054830193866273e-01,3.731288051751755364e-03,9.950054830193866273e-01,-3.731288051751755364e-03
3.000000000000000062e-03,5.235987755982988157e-01,1.215666337248601399e-04,0.000000000000000000e+00,6.065186170085795636e-02,-1.777052215679436598e-04,1.002946101272238766e-01,-5.237764808198667188e-01,1.002946101272238766e-01,0.000000000000000000e+00,3.913813893148180845e-01,3.913813893148180845e-01,0.000000000000000000e+00,3.602891103937959372e+01,1.701993243355524182e-02,3.604593097181314931e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,7.696644514431507655e-01,1.171623127037714207e-01,9.950054830193866273e-01,3.731288051751755364e-03,9.950054830193866273e-01,-3.731288051751755364e-03
4.000000000000000083e-03,5.235987755982988157e-01,2.017769233606585234e-04,0.000000000000000000e+00,8.021028963579836246e-02,2.897931764041014992e-04,9.913177647418791594e-02,-5.233089824218947195e-01,9.913177647418791594e-02,0.000000000000000000e+00,3.911578126968718871e-01,3.911578126968718871e-01,0.000000000000000000e+00,3.596452920940663489e+01,1.700049271486678976e-02,3.598152970212149881e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,7.696644514431507655e-01,1.171623127037714207e-01,9.950054830193866273e-01,3.731288051751755364e-03,9.950054830193866273e-01,-3.731288051751755364e-03
5.000000000000000104e-03,5.235987755982988157e-01,3.014548972127089038e-04,0.000000000000000000e+00,9.967797385205034999e-02,3.801435642508235236e-04,1.120525124185262067e-01,-5.232186320340479480e-01,1.120525124185262067e-01,0.000000000000000000e+00,3.895744499100986524e-01,3.895744499100986524e-01,0.000000000000000000e+00,3.595332582364166996e+01,1.686313911363954837e-02,3.597018896275530864e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,7.696644514431507655e-01,1.171623127037714207e-01,9.950054830193866273e-01,3.731288051751755364e-03,9.950054830193866273e-01,-3.731288051751755364e-03
6.000000000000000125e-03,5.235987755982988157e-01,4.204413719635880452e-04,0.000000000000000000e+00,1.189864747508791454e-01,6.101889742531210010e-04,3.614125311789603834e-02,-5.229885866240456815e-01,3.614125311789603834e-02,0.000000000000000000e+00,3.982913308357197701e-01,3.982913308357197701e-01,0.000000000000000000e+00,3.591672241350349282e+01,1.762622046876541684e-02,3.593434863397225598e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,7.696644514431507655e-01,1.171623127037714207e-01,9.950054830193866273e-01,3.731288051751755364e-03,9.950054830193866273e-01,-3.731288051751755364e-03
7.000000000000000146e-03,5.235987755982988157e-01,5.590990254074961700e-04,0.000000000000000000e+00,1.386576534439081243e-01,6.405493088930044052e-04,1.666210507848236433e-01,-5.229582262894058031e-01,1.666210507848236433e-01,0.000000000000000000e+00,3.829806487096361622e-01,3.829806487096361622e-01,0.000000000000000000e+00,3.592431094716823736e+01,1.629713080956152541e-02,3.594060807797779944e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,7.696644514431507655e-01,1.171623127037714207e-01,9.950054830193866273e-01,3.731288051751755364e-03,9.950054830193866273e-01,-3.731288051751755364e-03
8.000000000000000167e-03,5.235987755982988157e-01,7.165732157108916115e-04,0.000000000000000000e+00,1.574741903033954338e-01,6.009952931448196180e-04,1.721318381857066815e-01,-5.229977803051539809e-01,1.721318381857066815e-01,0.000000000000000000e+00,3.823654354327630234e-01,3.823654354327630234e-01,0.000000000000000000e+00,3.593057325300711113e+01,1.624481402374294142e-02,3.594681806703085414e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,7.696644514431507655e-01,1.171623127037714207e-01,9.950054830193866273e-01,3.731288051751755364e-03,9.950054830193866273e-01,-3.731288051751755364e-03
9.000000000000001055e-03,5.235987755982988157e-01,8.927563944436759389e-04,0.000000000000000000e+00,1.761831787327843291e-01,3.963197473206429887e-04,1.547428729160165994e-01,-5.232024558509781320e-01,1.547428729160165994e-01,0.000000000000000000e+00,3.845602983109860928e-01,3.845602983109860928e-01,0.000000000000000000e+00,3.595616512863104219e+01,1.643184700411495780e-02,3.597259697563515601e+01,1.313122540004697782e+02,4.444444444444444198e-01,1.111111111111111049e-01,7.696644514431507655e-01,1.171623127037714207e-01,9.950054830193866273e-01,3.731288051751755364e-03,9.950054830193866273e-01,-3.731288051751755364e-03
