time_s,q_ref_rad,q_rad,dq_ref_rad_s,dq_rad_s,q_measured_rad,dq_measured_rad_s,position_error_rad,velocity_error_rad_s,load_torque_nm,torque_unsat_nm,torque_cmd_nm,saturated,state_cost,input_cost,total_stage_cost,Q_position,Q_velocity,R_torque,K_position,K_velocity,closed_loop_pole_1_real,closed_loop_pole_1_imag,closed_loop_pole_2_real,closed_loop_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.254930349368076103e-04,3.516641020437501208e-02,-5.237242686332356234e-01,3.516641020437501208e-02,0.000000000000000000e+00,5.294712624017632407e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.601731356239151864e+02,3.114886863436853446e+02,6.716618219676005310e+02,1.313122540004697612e+03,4.444444444444444198e-01,1.111111111111111049e-01,1.012756836484594771e+02,2.656145691334555803e+00,9.296269846658351543e-01,1.272852776315159216e-02,9.296269846658351543e-01,-1.272852776315159216e-02
1.000000000000000021e-03,5.235987755982988157e-01,1.518064973180852486e-04,0.000000000000000000e+00,1.518064973180852373e-01,-6.258228771338488969e-04,9.836351480233071487e-02,-5.242245984754326793e-01,9.836351480233071487e-02,0.000000000000000000e+00,5.282993676991188181e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.608653826893875589e+02,3.101113576792096751e+02,6.709767403685972340e+02,1.313122540004697612e+03,4.444444444444444198e-01,1.111111111111111049e-01,1.012756836484594771e+02,2.656145691334555803e+00,9.296269846658351543e-01,1.272852776315159216e-02,9.296269846658351543e-01,-1.272852776315159216e-02
2.000000000000000042e-03,5.235987755982988157e-01,4.548029787442942973e-04,0.000000000000000000e+00,3.029964814262090522e-01,-3.978520610582389483e-05,3.159095152506963267e-01,-5.236385608044046291e-01,3.159095152506963267e-01,0.000000000000000000e+00,5.219275153237676790e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.600990656959413059e+02,3.026759236133797231e+02,6.627749893093209721e+02,1.313122540004697612e+03,4.444444444444444198e-01,1.111111111111111049e-01,1.012756836484594771e+02,2.656145691334555803e+00,9.296269846658351543e-01,1.272852776315159216e-02,9.296269846658351543e-01,-1.272852776315159216e-02
3.000000000000000062e-03,5.235987755982988157e-01,9.083754348385620790e-04,0.000000000000000000e+00,4.535724560942677730e-01,6.091035795457583335e-04,4.932152045206337210e-01,-5.229896720187530157e-01,4.932152045206337210e-01,0.000000000000000000e+00,5.165608513439463678e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.592710257381799011e+02,2.964834590457584795e+02,6.557544847839383237e+02,1.313122540004697612e+03,4.444444444444444198e-01,1.111111111111111049e-01,1.012756836484594771e+02,2.656145691334555803e+00,9.296269846658351543e-01,1.272852776315159216e-02,9.296269846658351543e-01,-1.272852776315159216e-02
4.000000000000000083e-03,5.235987755982988157e-01,1.511912349762464672e-03,0.000000000000000000e+00,6.035369149239026010e-01,1.599928602805907648e-03,6.224584017622921683e-01,-5.219988469954929267e-01,6.224584017622921683e-01,0.000000000000000000e+00,5.121244989130023839e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.579755035216631995e+02,2.914127804298819342e+02,6.493882839515451906e+02,1.313122540004697612e+03,4.444444444444444198e-01,1.111111111111111049e-01,1.012756836484594771e+02,2.656145691334555803e+00,9.296269846658351543e-01,1.272852776315159216e-02,9.296269846658351543e-01,-1.272852776315159216e-02
5.000000000000000104e-03,5.235987755982988157e-01,2.264804691152259158e-03,0.000000000000000000e+00,7.528923413897943284e-01,2.343493358190373941e-03,7.652668799562701851e-01,-5.212552822401084196e-01,7.652668799562701851e-01,0.000000000000000000e+00,5.075782473832079233e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.570449584381710793e+02,2.862618635740100217e+02,6.433068220121811009e+02,1.313122540004697612e+03,4.444444444444444198e-01,1.111111111111111049e-01,1.012756836484594771e+02,2.656145691334555803e+00,9.296269846658351543e-01,1.272852776315159216e-02,9.296269846658351543e-01,-1.272852776315159216e-02
6.000000000000000125e-03,5.235987755982988157e-01,3.166445900033050195e-03,0.000000000000000000e+00,9.016412088807911340e-01,3.356193502322583205e-03,8.187959872478079992e-01,-5.202425820959761804e-01,8.187959872478079992e-01,0.000000000000000000e+00,5.051308173119949885e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.556976612053392159e+02,2.835079362203156279e+02,6.392055974256547870e+02,1.313122540004697612e+03,4.444444444444444198e-01,1.111111111111111049e-01,1.012756836484594771e+02,2.656145691334555803e+00,9.296269846658351543e-01,1.272852776315159216e-02,9.296269846658351543e-01,-1.272852776315159216e-02
7.000000000000000146e-03,5.235987755982988157e-01,4.216231880773919048e-03,0.000000000000000000e+00,1.049785980740868707e+00,4.297682164259426958e-03,1.077749378081784171e+00,-5.193010934340394069e-01,1.077749378081784171e+00,0.000000000000000000e+00,4.972991388999444240e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.546307579292243304e+02,2.747849261673624142e+02,6.294156840965868014e+02,1.313122540004697612e+03,4.444444444444444198e-01,1.111111111111111049e-01,1.012756836484594771e+02,2.656145691334555803e+00,9.296269846658351543e-01,1.272852776315159216e-02,9.296269846658351543e-01,-1.272852776315159216e-02
8.000000000000000167e-03,5.235987755982988157e-01,5.413560991083843886e-03,0.000000000000000000e+00,1.197329110309924616e+00,5.297983068517772218e-03,1.211986758192235891e+00,-5.183007925297810070e-01,1.211986758192235891e+00,0.000000000000000000e+00,4.927205369326509299e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.534044576036704939e+02,2.697483639057775804e+02,6.231528215094481311e+02,1.313122540004697612e+03,4.444444444444444198e-01,1.111111111111111049e-01,1.012756836484594771e+02,2.656145691334555803e+00,9.296269846658351543e-01,1.272852776315159216e-02,9.296269846658351543e-01,-1.272852776315159216e-02
9.000000000000001055e-03,5.235987755982988157e-01,6.757834032048249361e-03,0.000000000000000000e+00,1.344273040964405697e+00,6.261397384925216844e-03,1.322832735147637884e+00,-5.173373782133735554e-01,1.322832735147637884e+00,0.000000000000000000e+00,4.888006018564234267e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.522191689495488163e+02,2.654733648613352557e+02,6.176925338108840151e+02,1.313122540004697612e+03,4.444444444444444198e-01,1.111111111111111049e-01,1.012756836484594771e+02,2.656145691334555803e+00,9.296269846658351543e-01,1.272852776315159216e-02,9.296269846658351543e-01,-1.272852776315159216e-02
