time_s,q_ref_rad,q_rad,dq_ref_rad_s,dq_rad_s,q_measured_rad,dq_measured_rad_s,position_error_rad,velocity_error_rad_s,load_torque_nm,torque_unsat_nm,torque_cmd_nm,saturated,state_cost,input_cost,total_stage_cost,Q_position,Q_velocity,R_torque,K_position,K_velocity,closed_loop_pole_1_real,closed_loop_pole_1_imag,closed_loop_pole_2_real,closed_loop_pole_2_imag
0.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.254930349368076103e-04,3.516641020437501208e-02,-5.237242686332356234e-01,3.516641020437501208e-02,0.000000000000000000e+00,1.515149755984070268e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.602275493858083166e+01,2.550754203398430420e+01,6.153029697256513941e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.000000000000000021e-03,5.235987755982988157e-01,1.518064973180852486e-04,0.000000000000000000e+00,1.518064973180852373e-01,-6.258228771338488969e-04,9.836351480233071487e-02,-5.242245984754326793e-01,9.836351480233071487e-02,0.000000000000000000e+00,1.482387462063388028e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.612910994553354271e+01,2.441636208536369423e+01,6.054547203089723695e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
2.000000000000000042e-03,5.235987755982988157e-01,4.548029787442942973e-04,0.000000000000000000e+00,3.029964814262090522e-01,-3.978520610582389483e-05,3.159095152506963267e-01,-5.236385608044046291e-01,3.159095152506963267e-01,0.000000000000000000e+00,1.362846411692507331e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.644902138562822103e+01,2.063722602070158985e+01,5.708624740632981087e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
3.000000000000000062e-03,5.235987755982988157e-01,9.083754348385620790e-04,0.000000000000000000e+00,4.535724560942677730e-01,6.091035795457583335e-04,4.932152045206337210e-01,-5.229896720187530157e-01,4.932152045206337210e-01,0.000000000000000000e+00,1.264915656928682353e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.699745202088745799e+01,1.777790687937022440e+01,5.477535890025768595e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
4.000000000000000083e-03,5.235987755982988157e-01,1.511912349762464672e-03,0.000000000000000000e+00,6.035369149239026010e-01,1.599928602805907648e-03,6.224584017622921683e-01,-5.219988469954929267e-01,6.224584017622921683e-01,0.000000000000000000e+00,1.192014190230056414e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.750234998463398028e+01,1.578775366344241071e+01,5.329010364807638922e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
5.000000000000000104e-03,5.235987755982988157e-01,2.264804691152259158e-03,0.000000000000000000e+00,7.528923413897943284e-01,2.343493358190373941e-03,7.652668799562701851e-01,-5.212552822401084196e-01,7.652668799562701851e-01,0.000000000000000000e+00,1.112490003481755707e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.828128279307233583e+01,1.375148897607596332e+01,5.203277176914829738e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
6.000000000000000125e-03,5.235987755982988157e-01,3.166445900033050195e-03,0.000000000000000000e+00,9.016412088807911340e-01,3.356193502322583205e-03,8.187959872478079992e-01,-5.202425820959761804e-01,8.187959872478079992e-01,0.000000000000000000e+00,1.080531694158521283e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.851964434295961581e+01,1.297276380090093539e+01,5.149240814386055121e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
7.000000000000000146e-03,5.235987755982988157e-01,4.216231880773919048e-03,0.000000000000000000e+00,1.049785980740868707e+00,4.297682164259426958e-03,1.077749378081784171e+00,-5.193010934340394069e-01,1.077749378081784171e+00,0.000000000000000000e+00,9.375228777924728973e+00,3.000000000000000000e+00,1.000000000000000000e+00,4.057386816952740105e+01,9.766101626492000420e+00,5.033996979601940325e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
8.000000000000000167e-03,5.235987755982988157e-01,5.413560991083843886e-03,0.000000000000000000e+00,1.197329110309924616e+00,5.297983068517772218e-03,1.211986758192235891e+00,-5.183007925297810070e-01,1.211986758192235891e+00,0.000000000000000000e+00,8.618887709043484335e+00,3.000000000000000000e+00,1.000000000000000000e+00,4.180365812931368907e+01,8.253913926788982280e+00,5.005757205610267135e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
9.000000000000001055e-03,5.235987755982988157e-01,6.757834032048249361e-03,0.000000000000000000e+00,1.344273040964405697e+00,6.261397384925216844e-03,1.322832735147637884e+00,-5.173373782133735554e-01,1.322832735147637884e+00,0.000000000000000000e+00,7.990316539175997157e+00,3.000000000000000000e+00,1.000000000000000000e+00,4.292141725373888761e+01,7.093906488469942317e+00,5.001532374220882815e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.000000000000000021e-02,5.235987755982988157e-01,8.248454238206021430e-03,0.000000000000000000e+00,1.490620206157772687e+00,8.902129251955695835e-03,1.426611098063415684e+00,-5.146966463463431563e-01,1.426611098063415684e+00,0.000000000000000000e+00,7.350888737815129303e+00,3.000000000000000000e+00,1.000000000000000000e+00,4.383169435579914364e+01,6.003951692859700096e+00,4.983564604865884462e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.099999999999999936e-02,5.235987755982988157e-01,9.884827267666819808e-03,0.000000000000000000e+00,1.636373029460798545e+00,9.864374190239010715e-03,1.603841965512263990e+00,-5.137344014080598154e-01,1.603841965512263990e+00,0.000000000000000000e+00,6.362806985384452219e+00,3.000000000000000000e+00,1.000000000000000000e+00,4.608881330162697054e+01,4.498368081473019586e+00,5.058718138309998835e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.200000000000000025e-02,5.235987755982988157e-01,1.166636119226852411e-02,0.000000000000000000e+00,1.781533924601703678e+00,1.169609401220215311e-02,1.750257676601532308e+00,-5.119026815860966417e-01,1.750257676601532308e+00,0.000000000000000000e+00,5.516151734541775653e+00,3.000000000000000000e+00,1.000000000000000000e+00,4.802475466654908587e+01,3.380881106498693001e+00,5.140563577304777709e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.300000000000000114e-02,5.235987755982988157e-01,1.359246648777465323e-02,0.000000000000000000e+00,1.926105295506128412e+00,1.426754670973036029e-02,1.990254996715762115e+00,-5.093312288885684103e-01,1.990254996715762115e+00,0.000000000000000000e+00,4.140982757976965800e+00,3.000000000000000000e+00,1.000000000000000000e+00,5.166975713867363851e+01,1.905304244651390588e+00,5.357506138332502843e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.400000000000000029e-02,5.235987755982988157e-01,1.566255602411159575e-02,0.000000000000000000e+00,2.070089536336943148e+00,1.578859476269669007e-02,2.128224872446668137e+00,-5.078101808356021429e-01,2.128224872446668137e+00,0.000000000000000000e+00,3.349171503207697853e+00,3.000000000000000000e+00,1.000000000000000000e+00,5.399205077919754103e+01,1.246327750877612051e+00,5.523837853007515264e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.499999999999999944e-02,5.235987755982988157e-01,1.787604505564549182e-02,0.000000000000000000e+00,2.213489031533897311e+00,1.679035954361300653e-02,2.224393251692796447e+00,-5.068084160546858508e-01,2.224393251692796447e+00,0.000000000000000000e+00,2.798971709711217670e+00,2.798971709711217670e+00,0.000000000000000000e+00,5.571895815692438703e+01,8.704714035293040775e-01,5.658942956045368788e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.600000000000000033e-02,5.235987755982988157e-01,2.022217874462840098e-02,0.000000000000000000e+00,2.346133688982910748e+00,1.947654759977522979e-02,2.338116833688932417e+00,-5.041222279985235755e-01,2.338116833688932417e+00,0.000000000000000000e+00,2.104348369835559396e+00,2.104348369835559396e+00,0.000000000000000000e+00,5.766843981033823496e+01,4.920313401810640364e-01,5.816047115051929950e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.700000000000000122e-02,5.235987755982988157e-01,2.266526895209926284e-02,0.000000000000000000e+00,2.443090207470860253e+00,2.250785417505360084e-02,2.505961683611316548e+00,-5.010909214232451836e-01,2.505961683611316548e+00,0.000000000000000000e+00,1.106490870285618655e+00,1.106490870285618655e+00,0.000000000000000000e+00,6.088188872590030343e+01,1.360357828917139744e-01,6.101792450879202079e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.800000000000000211e-02,5.235987755982988157e-01,2.515442816976669327e-02,0.000000000000000000e+00,2.489159217667431090e+00,2.515767884178012753e-02,2.488708202866802388e+00,-4.984410967565187089e-01,2.488708202866802388e+00,0.000000000000000000e+00,1.122312957519806531e+00,1.122312957519806531e+00,0.000000000000000000e+00,6.015109515384511951e+01,1.399540416240949992e-01,6.029104919546921337e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
1.899999999999999953e-02,5.235987755982988157e-01,2.769026993506024797e-02,0.000000000000000000e+00,2.535841765293555650e+00,2.745782032416857824e-02,2.599672541933016667e+00,-4.961409552741302131e-01,2.599672541933016667e+00,0.000000000000000000e+00,4.539426902296916921e-01,4.539426902296916921e-01,0.000000000000000000e+00,6.236015617191031879e+01,2.289599622366331536e-02,6.238305216813397891e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
2.000000000000000042e-02,5.235987755982988157e-01,3.023878367878071044e-02,0.000000000000000000e+00,2.548513743720462355e+00,3.001677525468178509e-02,2.559614451647826083e+00,-4.935820003436170444e-01,2.559614451647826083e+00,0.000000000000000000e+00,5.959379450377948473e-01,5.959379450377948473e-01,0.000000000000000000e+00,6.110904875011630111e+01,3.946022603731886430e-02,6.114850897615362157e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
2.100000000000000130e-02,5.235987755982988157e-01,3.280710320519057699e-02,0.000000000000000000e+00,2.568319526409867493e+00,3.327758356766707254e-02,2.579088946070685839e+00,-4.903211920306317362e-01,2.579088946070685839e+00,0.000000000000000000e+00,3.949408212215868019e-01,3.949408212215868019e-01,0.000000000000000000e+00,6.113252883830020323e+01,1.733091691857571032e-02,6.114985975521877748e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
2.199999999999999872e-02,5.235987755982988157e-01,3.538497718970137068e-02,0.000000000000000000e+00,2.577873984510794081e+00,3.633830681655220163e-02,2.553510038962962803e+00,-4.872604687817466140e-01,2.553510038962962803e+00,0.000000000000000000e+00,4.438171040806029310e-01,4.438171040806029310e-01,0.000000000000000000e+00,6.015613398967470005e+01,2.188595798605474929e-02,6.017801994766075779e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
2.299999999999999961e-02,5.235987755982988157e-01,3.797484007572545645e-02,0.000000000000000000e+00,2.589862886024088429e+00,3.687476160711140871e-02,2.548522532105244487e+00,-4.867240139911874208e-01,2.548522532105244487e+00,0.000000000000000000e+00,4.551148735499097597e-01,4.551148735499097597e-01,0.000000000000000000e+00,5.997442830449016071e+01,2.301439423626114658e-02,5.999744269872642377e+01,1.313122540004697782e+02,4.444444444444444642e+00,1.111111111111111049e-01,2.929396634653300069e+01,5.416064342564494538e+00,9.945788330847927794e-01,0.000000000000000000e+00,7.271192318156067813e-01,0.000000000000000000e+00
